Trail;round;component id;value;components_values_as_list.type.keyword: Descending;description;components_values_as_list.weight.keyword: Descending;Count
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;-1;key;002491800082402410104004;no_type;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;0;intermediate_output_0_5;104004;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;1;intermediate_output_1_11;820000;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;2;intermediate_output_2_11;108004;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;3;intermediate_output_3_11;048000;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;4;intermediate_output_4_11;008000;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;5;intermediate_output_5_11;048080;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;6;intermediate_output_6_11;000400;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;7;intermediate_output_7_11;000080;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;8;intermediate_output_8_11;800400;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;9;intermediate_output_9_11;800004;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;10;intermediate_output_10_11;000000;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;11;intermediate_output_11_11;008000;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;12;intermediate_output_12_11;040020;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;13;intermediate_output_13_11;000120;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_key_output;14;intermediate_output_14_11;0008a0;intermediate_output;round_key_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;-1;plaintext;000090804000;no_type;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;0;intermediate_output_0_6;000004020000;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;1;intermediate_output_1_12;800000900000;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;2;intermediate_output_2_12;800004000000;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;3;intermediate_output_3_12;000000000000;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;4;intermediate_output_4_12;008000008000;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;5;intermediate_output_5_12;040000000000;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;6;intermediate_output_6_12;000000000000;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;7;intermediate_output_7_12;000080000080;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;8;intermediate_output_8_12;000480000080;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;9;intermediate_output_9_12;000080000480;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;10;intermediate_output_10_12;800480802080;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;11;intermediate_output_11_12;012084002480;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;12;intermediate_output_12_12;802480810080;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;13;intermediate_output_13_12;008084088480;intermediate_output;round_output;0;1
38c67c4d-5d00-4835-8327-ddf42c341033 round_output;14;cipher_output_14_12;8c8ca0c8a8a0;cipher_output;round_output;0;1
