Trail;round;component id;value;components_values_as_list.type.keyword: Descending;description;Count
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;-1;key;24900000008280002410400000041040;no_type;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;0;intermediate_output_0_5;00041040;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;1;intermediate_output_1_11;00008200;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;2;intermediate_output_2_11;00041080;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;3;intermediate_output_3_11;00000480;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;4;intermediate_output_4_11;00000080;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;5;intermediate_output_5_11;80000480;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;6;intermediate_output_6_11;00000004;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;7;intermediate_output_7_11;80000000;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;8;intermediate_output_8_11;00800004;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;9;intermediate_output_9_11;04800000;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;10;intermediate_output_10_11;00000000;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;11;intermediate_output_11_11;00008000;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;12;intermediate_output_12_11;20040000;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_key_output;13;intermediate_output_13_11;20000001;intermediate_output;round_key_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;-1;plaintext;0410000000000040;no_type;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;0;intermediate_output_0_6;0000000000000200;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;1;intermediate_output_1_12;0000800000009000;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;2;intermediate_output_2_12;0004800000000000;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;3;intermediate_output_3_12;0000000000000000;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;4;intermediate_output_4_12;0000008000000080;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;5;intermediate_output_5_12;0000040000000000;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;6;intermediate_output_6_12;0000000000000000;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;7;intermediate_output_7_12;8000000080000000;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;8;intermediate_output_8_12;8000000480000000;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;9;intermediate_output_9_12;8000000080000004;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;10;intermediate_output_10_12;8080000480800020;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;11;intermediate_output_11_12;8400002080000124;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;12;intermediate_output_12_12;8080012480800800;intermediate_output;round_output;1
6c29b22a-706a-42e0-bd1c-4913ffdb54ca round_output;13;cipher_output_13_12;840088008000c804;cipher_output;round_output;1
